dataset,key,rep,fold,seed,arm,multiclass,Acc,Recall_1,Prec_1,F1_1,Gmean,AUC,BalAcc,n_synth,n_removed,n_removed_maj_orig,n_removed_min_orig,n_removed_synth,n_min_before,n_maj_before,n_min_after,n_maj_after,ir_before,ir_after,cum_var
Breast Cancer Wisconsin,breast,1,1,11,QKNN + Tanpa Resampling,False,0.982456140350877,0.954545454545455,1,0.976744186046512,0.977008420918394,0.999350649350649,0.977272727272727,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,1,11,QKNN + SMOTE,False,0.982456140350877,0.954545454545455,1,0.976744186046512,0.977008420918394,0.999350649350649,0.977272727272727,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,1,11,QKNN + SMOTE-ENN,False,1,1,1,1,1,1,1,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,1,11,QKNN + Borderline-SMOTE,False,1,1,1,1,1,1,1,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,1,11,QKNN + SMOTE-Tomek,False,0.982456140350877,0.954545454545455,1,0.976744186046512,0.977008420918394,0.999350649350649,0.977272727272727,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,1,11,QKNN + Quantum-SMOTE,False,0.982456140350877,1,0.956521739130435,0.977777777777778,0.985610760609162,0.999350649350649,0.985714285714286,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,1,11,QKNN + Quantum-SMOTEV2,False,0.982456140350877,1,0.956521739130435,0.977777777777778,0.985610760609162,0.999350649350649,0.985714285714286,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,1,11,QKNN + QS-ENN,False,0.982456140350877,0.954545454545455,1,0.976744186046512,0.977008420918394,0.999350649350649,0.977272727272727,132,10,10,0,0,190,322,322,312,1.69473684210526,0.968944099378882,0.877512908914198
Breast Cancer Wisconsin,breast,1,1,11,ablasi: tanpa borderline,False,0.982456140350877,0.954545454545455,1,0.976744186046512,0.977008420918394,0.998701298701299,0.977272727272727,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,1,11,ablasi: P2 = tetangga,False,0.982456140350877,0.954545454545455,1,0.976744186046512,0.977008420918394,0.998701298701299,0.977272727272727,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,1,11,ablasi: tanpa Q-ENN,False,0.982456140350877,0.954545454545455,1,0.976744186046512,0.977008420918394,0.999350649350649,0.977272727272727,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,1,11,KNN + SMOTE-ENN,False,1,1,1,1,1,1,1,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,2,11,QKNN + Tanpa Resampling,False,0.947368421052632,0.909090909090909,0.952380952380952,0.930232558139535,0.93974298779873,0.969480519480519,0.94025974025974,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,2,11,QKNN + SMOTE,False,0.929824561403509,0.909090909090909,0.909090909090909,0.909090909090909,0.925820099772551,0.966883116883117,0.925974025974026,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,2,11,QKNN + SMOTE-ENN,False,0.964912280701754,0.909090909090909,1,0.952380952380952,0.953462589245592,0.972077922077922,0.954545454545455,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,2,11,QKNN + Borderline-SMOTE,False,0.929824561403509,0.909090909090909,0.909090909090909,0.909090909090909,0.925820099772551,0.965584415584416,0.925974025974026,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,2,11,QKNN + SMOTE-Tomek,False,0.929824561403509,0.909090909090909,0.909090909090909,0.909090909090909,0.925820099772551,0.966883116883117,0.925974025974026,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,2,11,QKNN + Quantum-SMOTE,False,0.912280701754386,0.909090909090909,0.869565217391304,0.888888888888889,0.911684611677104,0.962987012987013,0.911688311688312,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,2,11,QKNN + Quantum-SMOTEV2,False,0.929824561403509,0.909090909090909,0.909090909090909,0.909090909090909,0.925820099772551,0.965584415584416,0.925974025974026,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,2,11,QKNN + QS-ENN,False,0.929824561403509,0.954545454545455,0.875,0.91304347826087,0.934198732993827,0.970779220779221,0.934415584415584,132,13,13,0,0,190,322,322,309,1.69473684210526,0.959627329192547,0.880764458575526
Breast Cancer Wisconsin,breast,1,2,11,ablasi: tanpa borderline,False,0.947368421052632,0.909090909090909,0.952380952380952,0.930232558139535,0.93974298779873,0.970779220779221,0.94025974025974,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,2,11,ablasi: P2 = tetangga,False,0.929824561403509,0.954545454545455,0.875,0.91304347826087,0.934198732993827,0.945454545454545,0.934415584415584,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,2,11,ablasi: tanpa Q-ENN,False,0.929824561403509,0.954545454545455,0.875,0.91304347826087,0.934198732993827,0.966883116883117,0.934415584415584,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,2,11,KNN + SMOTE-ENN,False,0.982456140350877,0.954545454545455,1,0.976744186046512,0.977008420918394,0.975974025974026,0.977272727272727,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,3,11,QKNN + Tanpa Resampling,False,0.929824561403509,0.80952380952381,1,0.894736842105263,0.899735410842437,0.989417989417989,0.904761904761905,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,3,11,QKNN + SMOTE,False,0.929824561403509,0.857142857142857,0.947368421052632,0.9,0.912870929175277,0.988095238095238,0.91468253968254,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,3,11,QKNN + SMOTE-ENN,False,0.947368421052632,0.857142857142857,1,0.923076923076923,0.925820099772551,0.974206349206349,0.928571428571429,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,3,11,QKNN + Borderline-SMOTE,False,0.929824561403509,0.904761904761905,0.904761904761905,0.904761904761905,0.924390260927361,0.989417989417989,0.924603174603175,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,3,11,QKNN + SMOTE-Tomek,False,0.929824561403509,0.857142857142857,0.947368421052632,0.9,0.912870929175277,0.988756613756614,0.91468253968254,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,3,11,QKNN + Quantum-SMOTE,False,0.947368421052632,0.904761904761905,0.95,0.926829268292683,0.937885723118563,0.990079365079365,0.938492063492063,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,3,11,QKNN + Quantum-SMOTEV2,False,0.964912280701754,0.952380952380952,0.952380952380952,0.952380952380952,0.962250448649376,0.994047619047619,0.962301587301587,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,3,11,QKNN + QS-ENN,False,0.964912280701754,0.904761904761905,1,0.95,0.951189731211342,0.994708994708995,0.952380952380952,130,13,13,0,0,191,321,321,308,1.68062827225131,0.959501557632399,0.875593513478444
Breast Cancer Wisconsin,breast,1,3,11,ablasi: tanpa borderline,False,0.929824561403509,0.80952380952381,1,0.894736842105263,0.899735410842437,0.989417989417989,0.904761904761905,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,3,11,ablasi: P2 = tetangga,False,0.982456140350877,0.952380952380952,1,0.975609756097561,0.975900072948533,0.997354497354497,0.976190476190476,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,3,11,ablasi: tanpa Q-ENN,False,0.947368421052632,0.857142857142857,1,0.923076923076923,0.925820099772551,0.992063492063492,0.928571428571429,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,3,11,KNN + SMOTE-ENN,False,0.964912280701754,0.904761904761905,1,0.95,0.951189731211342,0.974867724867725,0.952380952380952,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,4,11,QKNN + Tanpa Resampling,False,0.982456140350877,1,0.954545454545455,0.976744186046512,0.986013297183269,0.998677248677249,0.986111111111111,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,4,11,QKNN + SMOTE,False,0.982456140350877,1,0.954545454545455,0.976744186046512,0.986013297183269,0.999338624338624,0.986111111111111,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,4,11,QKNN + SMOTE-ENN,False,0.982456140350877,1,0.954545454545455,0.976744186046512,0.986013297183269,0.999338624338624,0.986111111111111,,,,,,,,,,,,
Breast Cancer Wisconsin,breast,1,4,11,QKNN + Borderline-SMOTE,False,0.947368421052632,1,0.875,0.933333333333333,0.957427107756338,1,0.958333333333333,,,,,,,,,,,,
