dataset,key,rep,fold,seed,arm,multiclass,Acc,Recall_1,Prec_1,F1_1,Gmean,AUC,BalAcc,n_synth,n_removed,n_removed_maj_orig,n_removed_min_orig,n_removed_synth,n_min_before,n_maj_before,n_min_after,n_maj_after,ir_before,ir_after,cum_var
Cervical Cancer,cervical,1,1,11,QKNN + Tanpa Resampling,False,0.895348837209302,0,0,0,0,0.407407407407407,0.475308641975309,,,,,,,,,,,,
Cervical Cancer,cervical,1,1,11,QKNN + SMOTE,False,0.779069767441861,0,0,0,0,0.403703703703704,0.41358024691358,,,,,,,,,,,,
Cervical Cancer,cervical,1,1,11,QKNN + SMOTE-ENN,False,0.709302325581395,0.2,0.0454545454545455,0.0740740740740741,0.384900179459751,0.425925925925926,0.47037037037037,,,,,,,,,,,,
Cervical Cancer,cervical,1,1,11,QKNN + Borderline-SMOTE,False,0.802325581395349,0,0,0,0,0.37037037037037,0.425925925925926,,,,,,,,,,,,
Cervical Cancer,cervical,1,1,11,QKNN + SMOTE-Tomek,False,0.779069767441861,0,0,0,0,0.403703703703704,0.41358024691358,,,,,,,,,,,,
Cervical Cancer,cervical,1,1,11,QKNN + Quantum-SMOTE,False,0.872093023255814,0,0,0,0,0.401234567901235,0.462962962962963,,,,,,,,,,,,
Cervical Cancer,cervical,1,1,11,QKNN + Quantum-SMOTEV2,False,0.779069767441861,0,0,0,0,0.345679012345679,0.41358024691358,,,,,,,,,,,,
Cervical Cancer,cervical,1,1,11,QKNN + QS-ENN,False,0.837209302325581,0,0,0,0,0.407407407407407,0.444444444444444,672,26,22,0,4,50,722,718,700,14.44,0.974930362116992,0.785940493472593
Cervical Cancer,cervical,1,1,11,ablasi: tanpa borderline,False,0.837209302325581,0,0,0,0,0.407407407407407,0.444444444444444,,,,,,,,,,,,
Cervical Cancer,cervical,1,1,11,ablasi: P2 = tetangga,False,0.767441860465116,0,0,0,0,0.376543209876543,0.407407407407407,,,,,,,,,,,,
Cervical Cancer,cervical,1,1,11,ablasi: tanpa Q-ENN,False,0.848837209302326,0,0,0,0,0.407407407407407,0.450617283950617,,,,,,,,,,,,
Cervical Cancer,cervical,1,1,11,KNN + SMOTE-ENN,False,0.720930232558139,0.2,0.0476190476190476,0.0769230769230769,0.388094426590511,0.446913580246914,0.476543209876543,,,,,,,,,,,,
Cervical Cancer,cervical,1,2,11,QKNN + Tanpa Resampling,False,0.930232558139535,0,0,0,0,0.746913580246914,0.493827160493827,,,,,,,,,,,,
Cervical Cancer,cervical,1,2,11,QKNN + SMOTE,False,0.790697674418605,0.6,0.157894736842105,0.25,0.693888666488711,0.7,0.701234567901235,,,,,,,,,,,,
Cervical Cancer,cervical,1,2,11,QKNN + SMOTE-ENN,False,0.709302325581395,0.6,0.115384615384615,0.193548387096774,0.65546138683345,0.653086419753086,0.658024691358025,,,,,,,,,,,,
Cervical Cancer,cervical,1,2,11,QKNN + Borderline-SMOTE,False,0.825581395348837,0.4,0.142857142857143,0.210526315789474,0.583730023847275,0.7,0.625925925925926,,,,,,,,,,,,
Cervical Cancer,cervical,1,2,11,QKNN + SMOTE-Tomek,False,0.790697674418605,0.6,0.157894736842105,0.25,0.693888666488711,0.7,0.701234567901235,,,,,,,,,,,,
Cervical Cancer,cervical,1,2,11,QKNN + Quantum-SMOTE,False,0.941860465116279,0.4,0.5,0.444444444444444,0.624598636558009,0.759259259259259,0.687654320987654,,,,,,,,,,,,
Cervical Cancer,cervical,1,2,11,QKNN + Quantum-SMOTEV2,False,0.906976744186046,0.6,0.333333333333333,0.428571428571429,0.74535599249993,0.74320987654321,0.762962962962963,,,,,,,,,,,,
Cervical Cancer,cervical,1,2,11,QKNN + QS-ENN,False,0.918604651162791,0.2,0.25,0.222222222222222,0.438853725736256,0.745679012345679,0.581481481481481,672,29,26,0,3,50,722,719,696,14.44,0.968011126564673,0.782918222879867
Cervical Cancer,cervical,1,2,11,ablasi: tanpa borderline,False,0.918604651162791,0.4,0.333333333333333,0.363636363636364,0.616641641133849,0.746913580246914,0.675308641975309,,,,,,,,,,,,
Cervical Cancer,cervical,1,2,11,ablasi: P2 = tetangga,False,0.802325581395349,0.4,0.125,0.19047619047619,0.575207960246435,0.683950617283951,0.61358024691358,,,,,,,,,,,,
Cervical Cancer,cervical,1,2,11,ablasi: tanpa Q-ENN,False,0.930232558139535,0.2,0.333333333333333,0.25,0.44165793143004,0.749382716049383,0.587654320987654,,,,,,,,,,,,
Cervical Cancer,cervical,1,2,11,KNN + SMOTE-ENN,False,0.686046511627907,0.6,0.107142857142857,0.181818181818182,0.644061188719531,0.651851851851852,0.645679012345679,,,,,,,,,,,,
Cervical Cancer,cervical,1,3,11,QKNN + Tanpa Resampling,False,0.906976744186046,0,0,0,0,0.534567901234568,0.481481481481481,,,,,,,,,,,,
