dataset,key,rep,fold,seed,arm,multiclass,Acc,Recall_1,Prec_1,F1_1,Gmean,AUC,BalAcc,n_synth,n_removed,n_removed_maj_orig,n_removed_min_orig,n_removed_synth,n_min_before,n_maj_before,n_min_after,n_maj_after,ir_before,ir_after,cum_var
Frankfurt Hospital Diabetes,frankfurt,1,1,11,QKNN + Tanpa Resampling,False,0.84,0.840579710144927,0.734177215189873,0.783783783783784,0.840137066770292,0.946122358667994,0.840137183316739,,,,,,,,,,,,
Frankfurt Hospital Diabetes,frankfurt,1,1,11,QKNN + SMOTE,False,0.875,0.942028985507246,0.755813953488372,0.838709677419355,0.889391199297454,0.982298926872442,0.890861820997898,,,,,,,,,,,,
Frankfurt Hospital Diabetes,frankfurt,1,1,11,QKNN + SMOTE-ENN,False,0.755,0.869565217391304,0.6,0.710059171597633,0.77720597043379,0.802577718774201,0.782110852970461,,,,,,,,,,,,
Frankfurt Hospital Diabetes,frankfurt,1,1,11,QKNN + Borderline-SMOTE,False,0.875,0.942028985507246,0.755813953488372,0.838709677419355,0.889391199297454,0.982354242725965,0.890861820997898,,,,,,,,,,,,
Frankfurt Hospital Diabetes,frankfurt,1,1,11,QKNN + SMOTE-Tomek,False,0.875,0.942028985507246,0.755813953488372,0.838709677419355,0.889391199297454,0.982298926872442,0.890861820997898,,,,,,,,,,,,
Frankfurt Hospital Diabetes,frankfurt,1,1,11,QKNN + Quantum-SMOTE,False,0.88,1,0.741935483870968,0.851851851851852,0.903766503655547,0.985396614669764,0.908396946564886,,,,,,,,,,,,
Frankfurt Hospital Diabetes,frankfurt,1,1,11,QKNN + Quantum-SMOTEV2,False,0.89,1,0.758241758241758,0.8625,0.912173814961979,0.986613563447284,0.916030534351145,,,,,,,,,,,,
Frankfurt Hospital Diabetes,frankfurt,1,1,11,QKNN + QS-ENN,False,0.775,0.91304347826087,0.617647058823529,0.736842105263158,0.800762994927839,0.855625622303352,0.807666777298374,570,154,149,0,5,615,1185,1180,1036,1.92682926829268,0.877966101694915,0.839489577534325
Frankfurt Hospital Diabetes,frankfurt,1,1,11,ablasi: tanpa borderline,False,0.77,0.898550724637681,0.613861386138614,0.729411764705882,0.794382311609124,0.836652284544751,0.800420400486779,,,,,,,,,,,,
Frankfurt Hospital Diabetes,frankfurt,1,1,11,ablasi: P2 = tetangga,False,0.79,0.956521739130435,0.628571428571429,0.758620689655172,0.819607055356919,0.838533023564554,0.829405907733156,,,,,,,,,,,,
