dataset,key,rep,fold,seed,arm,multiclass,Acc,Recall_1,Prec_1,F1_1,Gmean,AUC,BalAcc,n_synth,n_removed,n_removed_maj_orig,n_removed_min_orig,n_removed_synth,n_min_before,n_maj_before,n_min_after,n_maj_after,ir_before,ir_after,cum_var
HCV (Hepatitis C),hcv,1,1,11,QKNN + Tanpa Resampling,False,0.935483870967742,0.5,1,0.666666666666667,0.707106781186548,0.793981481481481,0.75,,,,,,,,,,,,
HCV (Hepatitis C),hcv,1,1,11,QKNN + SMOTE,False,0.854838709677419,0.75,0.461538461538462,0.571428571428571,0.807946642902722,0.81712962962963,0.810185185185185,,,,,,,,,,,,
HCV (Hepatitis C),hcv,1,1,11,QKNN + SMOTE-ENN,False,0.854838709677419,0.75,0.461538461538462,0.571428571428571,0.807946642902722,0.827546296296296,0.810185185185185,,,,,,,,,,,,
HCV (Hepatitis C),hcv,1,1,11,QKNN + Borderline-SMOTE,False,0.854838709677419,0.625,0.454545454545455,0.526315789473684,0.74535599249993,0.818287037037037,0.756944444444444,,,,,,,,,,,,
HCV (Hepatitis C),hcv,1,1,11,QKNN + SMOTE-Tomek,False,0.854838709677419,0.75,0.461538461538462,0.571428571428571,0.807946642902722,0.826388888888889,0.810185185185185,,,,,,,,,,,,
HCV (Hepatitis C),hcv,1,1,11,QKNN + Quantum-SMOTE,False,0.774193548387097,0.5,0.285714285714286,0.363636363636364,0.638284738504225,0.722222222222222,0.657407407407407,,,,,,,,,,,,
HCV (Hepatitis C),hcv,1,1,11,QKNN + Quantum-SMOTEV2,False,0.887096774193548,0.5,0.571428571428571,0.533333333333333,0.687184270936277,0.771990740740741,0.722222222222222,,,,,,,,,,,,
HCV (Hepatitis C),hcv,1,1,11,QKNN + QS-ENN,False,0.919354838709677,0.625,0.714285714285714,0.666666666666667,0.775791113542719,0.84375,0.793981481481481,419,15,15,0,0,67,486,486,471,7.25373134328358,0.969135802469136,0.906413624420421
HCV (Hepatitis C),hcv,1,1,11,ablasi: tanpa borderline,False,0.903225806451613,0.625,0.625,0.625,0.768295371441074,0.837962962962963,0.784722222222222,,,,,,,,,,,,
HCV (Hepatitis C),hcv,1,1,11,ablasi: P2 = tetangga,False,0.887096774193548,0.75,0.545454545454545,0.631578947368421,0.824957911384305,0.828703703703704,0.828703703703704,,,,,,,,,,,,
