dataset,key,rep,fold,seed,arm,multiclass,Acc,Recall_1,Prec_1,F1_1,Gmean,AUC,BalAcc,n_synth,n_removed,n_removed_maj_orig,n_removed_min_orig,n_removed_synth,n_min_before,n_maj_before,n_min_after,n_maj_after,ir_before,ir_after,cum_var
Heart Disease,heart,1,1,11,QKNN + Tanpa Resampling,False,0.83695652173913,0.714285714285714,0.909090909090909,0.8,0.819407451411428,0.876904761904762,0.827142857142857,,,,,,,,,,,,
Heart Disease,heart,1,1,11,QKNN + SMOTE,False,0.83695652173913,0.714285714285714,0.909090909090909,0.8,0.819407451411428,0.874761904761905,0.827142857142857,,,,,,,,,,,,
Heart Disease,heart,1,1,11,QKNN + SMOTE-ENN,False,0.815217391304348,0.69047619047619,0.878787878787879,0.773333333333333,0.797018252763445,0.820952380952381,0.805238095238095,,,,,,,,,,,,
Heart Disease,heart,1,1,11,QKNN + Borderline-SMOTE,False,0.847826086956522,0.761904761904762,0.888888888888889,0.82051282051282,0.837228989555654,0.872857142857143,0.840952380952381,,,,,,,,,,,,
Heart Disease,heart,1,1,11,QKNN + SMOTE-Tomek,False,0.858695652173913,0.761904761904762,0.914285714285714,0.831168831168831,0.846280376819926,0.891190476190476,0.850952380952381,,,,,,,,,,,,
Heart Disease,heart,1,1,11,QKNN + Quantum-SMOTE,False,0.83695652173913,0.714285714285714,0.909090909090909,0.8,0.819407451411428,0.879047619047619,0.827142857142857,,,,,,,,,,,,
Heart Disease,heart,1,1,11,QKNN + Quantum-SMOTEV2,False,0.83695652173913,0.714285714285714,0.909090909090909,0.8,0.819407451411428,0.879761904761905,0.827142857142857,,,,,,,,,,,,
Heart Disease,heart,1,1,11,QKNN + QS-ENN,False,0.869565217391304,0.857142857142857,0.857142857142857,0.857142857142857,0.868496237346895,0.876190476190476,0.868571428571429,90,105,100,0,5,369,459,454,359,1.24390243902439,0.790748898678414,0.642161467067274
Heart Disease,heart,1,1,11,ablasi: tanpa borderline,False,0.869565217391304,0.857142857142857,0.857142857142857,0.857142857142857,0.868496237346895,0.891904761904762,0.868571428571429,,,,,,,,,,,,
Heart Disease,heart,1,1,11,ablasi: P2 = tetangga,False,0.858695652173913,0.857142857142857,0.837209302325581,0.847058823529412,0.858570240075241,0.879761904761905,0.858571428571429,,,,,,,,,,,,
Heart Disease,heart,1,1,11,ablasi: tanpa Q-ENN,False,0.83695652173913,0.714285714285714,0.909090909090909,0.8,0.819407451411428,0.862619047619048,0.827142857142857,,,,,,,,,,,,
Heart Disease,heart,1,1,11,KNN + SMOTE-ENN,False,0.815217391304348,0.69047619047619,0.878787878787879,0.773333333333333,0.797018252763445,0.81,0.805238095238095,,,,,,,,,,,,
Heart Disease,heart,1,2,11,QKNN + Tanpa Resampling,False,0.760869565217391,0.707317073170732,0.743589743589744,0.725,0.754073902863898,0.803682448589192,0.755619320899091,,,,,,,,,,,,
Heart Disease,heart,1,2,11,QKNN + SMOTE,False,0.771739130434783,0.75609756097561,0.738095238095238,0.746987951807229,0.770076421456229,0.810377809660449,0.770205643232903,,,,,,,,,,,,
Heart Disease,heart,1,2,11,QKNN + SMOTE-ENN,False,0.793478260869565,0.731707317073171,0.789473684210526,0.759493670886076,0.785448724430024,0.811334289813486,0.787422285987566,,,,,,,,,,,,
Heart Disease,heart,1,2,11,QKNN + Borderline-SMOTE,False,0.771739130434783,0.780487804878049,0.727272727272727,0.752941176470588,0.772556545176454,0.806073648971784,0.772596843615495,,,,,,,,,,,,
Heart Disease,heart,1,2,11,QKNN + SMOTE-Tomek,False,0.782608695652174,0.780487804878049,0.744186046511628,0.761904761904762,0.782398426598346,0.816116690578671,0.782400765184122,,,,,,,,,,,,
Heart Disease,heart,1,2,11,QKNN + Quantum-SMOTE,False,0.75,0.707317073170732,0.725,0.716049382716049,0.74482111191974,0.800334768053563,0.745815399330464,,,,,,,,,,,,
Heart Disease,heart,1,2,11,QKNN + Quantum-SMOTEV2,False,0.739130434782609,0.707317073170732,0.707317073170732,0.707317073170732,0.735451919939247,0.800334768053563,0.736011477761836,,,,,,,,,,,,
Heart Disease,heart,1,2,11,QKNN + QS-ENN,False,0.739130434782609,0.780487804878049,0.680851063829787,0.727272727272727,0.742248319734852,0.751076040172166,0.743185078909613,88,106,97,0,9,370,458,449,361,1.23783783783784,0.804008908685969,0.645931851160591
