dataset,key,rep,fold,seed,arm,multiclass,Acc,Recall_1,Prec_1,F1_1,Gmean,AUC,BalAcc,n_synth,n_removed,n_removed_maj_orig,n_removed_min_orig,n_removed_synth,n_min_before,n_maj_before,n_min_after,n_maj_after,ir_before,ir_after,cum_var
Liver Disease (ILPD),liver,1,1,11,QKNN + Tanpa Resampling,False,0.661016949152542,0.294117647058824,0.384615384615385,0.333333333333333,0.487950036474267,0.623249299719888,0.551820728291317,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,1,11,QKNN + SMOTE,False,0.644067796610169,0.588235294117647,0.416666666666667,0.48780487804878,0.626224291085149,0.59593837535014,0.627450980392157,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,1,11,QKNN + SMOTE-ENN,False,0.542372881355932,0.705882352941177,0.352941176470588,0.470588235294118,0.579771035652448,0.631652661064426,0.591036414565826,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,1,11,QKNN + Borderline-SMOTE,False,0.542372881355932,0.352941176470588,0.272727272727273,0.307692307692308,0.467426352442803,0.506302521008403,0.485994397759104,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,1,11,QKNN + SMOTE-Tomek,False,0.661016949152542,0.647058823529412,0.44,0.523809523809524,0.656789577429185,0.61624649859944,0.656862745098039,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,1,11,QKNN + Quantum-SMOTE,False,0.610169491525424,0.588235294117647,0.384615384615385,0.465116279069767,0.603444826196484,0.554621848739496,0.603641456582633,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,1,11,QKNN + Quantum-SMOTEV2,False,0.576271186440678,0.529411764705882,0.346153846153846,0.418604651162791,0.56136089142384,0.561624649859944,0.562324929971989,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,1,11,QKNN + QS-ENN,False,0.576271186440678,0.470588235294118,0.333333333333333,0.390243902439024,0.539737460818354,0.567927170868347,0.544817927170868,224,108,96,0,12,150,374,362,278,2.49333333333333,0.767955801104972,0.93108583913918
Liver Disease (ILPD),liver,1,1,11,ablasi: tanpa borderline,False,0.542372881355932,0.411764705882353,0.291666666666667,0.341463414634146,0.495073771488337,0.57563025210084,0.503501400560224,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,1,11,ablasi: P2 = tetangga,False,0.474576271186441,0.470588235294118,0.266666666666667,0.340425531914894,0.473381068331151,0.549019607843137,0.473389355742297,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,1,11,ablasi: tanpa Q-ENN,False,0.627118644067797,0.294117647058824,0.333333333333333,0.3125,0.473381068331151,0.586134453781513,0.528011204481793,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,1,11,KNN + SMOTE-ENN,False,0.542372881355932,0.764705882352941,0.361111111111111,0.490566037735849,0.588165261937612,0.598739495798319,0.608543417366947,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,2,11,QKNN + Tanpa Resampling,False,0.711864406779661,0.470588235294118,0.5,0.484848484848485,0.617213399848368,0.728991596638655,0.640056022408964,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,2,11,QKNN + SMOTE,False,0.711864406779661,0.941176470588235,0.5,0.653061224489796,0.763304037210133,0.804621848739496,0.780112044817927,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,2,11,QKNN + SMOTE-ENN,False,0.610169491525424,0.882352941176471,0.416666666666667,0.566037735849057,0.664211164155071,0.749299719887955,0.691176470588235,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,2,11,QKNN + Borderline-SMOTE,False,0.711864406779661,0.882352941176471,0.5,0.638297872340426,0.753144667880151,0.780812324929972,0.762605042016807,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,2,11,QKNN + SMOTE-Tomek,False,0.711864406779661,0.882352941176471,0.5,0.638297872340426,0.753144667880151,0.808823529411765,0.762605042016807,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,2,11,QKNN + Quantum-SMOTE,False,0.644067796610169,0.823529411764706,0.4375,0.571428571428571,0.685994340570035,0.737394957983193,0.697478991596639,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,2,11,QKNN + Quantum-SMOTEV2,False,0.661016949152542,0.823529411764706,0.451612903225806,0.583333333333333,0.700140042014005,0.781512605042017,0.7093837535014,,,,,,,,,,,,
Liver Disease (ILPD),liver,1,2,11,QKNN + QS-ENN,False,0.661016949152542,0.647058823529412,0.44,0.523809523809524,0.656789577429185,0.766806722689076,0.656862745098039,224,118,105,0,13,150,374,361,269,2.49333333333333,0.745152354570637,0.930568245747187
