dataset,key,rep,fold,seed,arm,multiclass,Acc,Recall_1,Prec_1,F1_1,Gmean,AUC,BalAcc,n_synth,n_removed,n_removed_maj_orig,n_removed_min_orig,n_removed_synth,n_min_before,n_maj_before,n_min_after,n_maj_after,ir_before,ir_after,cum_var
Lung Cancer,lung,1,1,11,QKNN + Tanpa Resampling,False,0.935483870967742,0.5,1,0.666666666666667,0.707106781186548,0.962962962962963,0.75,,,,,,,,,,,,
Lung Cancer,lung,1,1,11,QKNN + SMOTE,False,0.903225806451613,0.75,0.6,0.666666666666667,0.833333333333333,0.958333333333333,0.837962962962963,,,,,,,,,,,,
Lung Cancer,lung,1,1,11,QKNN + SMOTE-ENN,False,0.838709677419355,1,0.444444444444444,0.615384615384615,0.90267093384844,0.925925925925926,0.907407407407407,,,,,,,,,,,,
Lung Cancer,lung,1,1,11,QKNN + Borderline-SMOTE,False,0.935483870967742,0.75,0.75,0.75,0.849836585598797,0.976851851851852,0.856481481481481,,,,,,,,,,,,
Lung Cancer,lung,1,1,11,QKNN + SMOTE-Tomek,False,0.903225806451613,0.75,0.6,0.666666666666667,0.833333333333333,0.958333333333333,0.837962962962963,,,,,,,,,,,,
Lung Cancer,lung,1,1,11,QKNN + Quantum-SMOTE,False,0.903225806451613,0.75,0.6,0.666666666666667,0.833333333333333,0.958333333333333,0.837962962962963,,,,,,,,,,,,
Lung Cancer,lung,1,1,11,QKNN + Quantum-SMOTEV2,False,0.870967741935484,0.75,0.5,0.6,0.816496580927726,0.953703703703704,0.819444444444444,,,,,,,,,,,,
Lung Cancer,lung,1,1,11,QKNN + QS-ENN,False,0.870967741935484,1,0.5,0.666666666666667,0.922958206990897,0.944444444444444,0.925925925925926,208,30,26,0,4,35,243,239,217,6.94285714285714,0.907949790794979,0.621788639113079
Lung Cancer,lung,1,1,11,ablasi: tanpa borderline,False,0.870967741935484,1,0.5,0.666666666666667,0.922958206990897,0.925925925925926,0.925925925925926,,,,,,,,,,,,
Lung Cancer,lung,1,1,11,ablasi: P2 = tetangga,False,0.870967741935484,1,0.5,0.666666666666667,0.922958206990897,0.962962962962963,0.925925925925926,,,,,,,,,,,,
Lung Cancer,lung,1,1,11,ablasi: tanpa Q-ENN,False,0.903225806451613,0.75,0.6,0.666666666666667,0.833333333333333,0.972222222222222,0.837962962962963,,,,,,,,,,,,
Lung Cancer,lung,1,1,11,KNN + SMOTE-ENN,False,0.838709677419355,1,0.444444444444444,0.615384615384615,0.90267093384844,0.925925925925926,0.907407407407407,,,,,,,,,,,,
Lung Cancer,lung,1,2,11,QKNN + Tanpa Resampling,False,0.903225806451613,0.5,0.666666666666667,0.571428571428571,0.693888666488711,0.861111111111111,0.731481481481481,,,,,,,,,,,,
Lung Cancer,lung,1,2,11,QKNN + SMOTE,False,0.967741935483871,1,0.8,0.888888888888889,0.981306762925316,0.990740740740741,0.981481481481481,,,,,,,,,,,,
Lung Cancer,lung,1,2,11,QKNN + SMOTE-ENN,False,0.935483870967742,1,0.666666666666667,0.8,0.962250448649376,0.972222222222222,0.962962962962963,,,,,,,,,,,,
Lung Cancer,lung,1,2,11,QKNN + Borderline-SMOTE,False,0.870967741935484,0.75,0.5,0.6,0.816496580927726,0.944444444444444,0.819444444444444,,,,,,,,,,,,
