dataset,key,rep,fold,seed,arm,multiclass,Acc,Recall_1,Prec_1,F1_1,Gmean,AUC,BalAcc,n_synth,n_removed,n_removed_maj_orig,n_removed_min_orig,n_removed_synth,n_min_before,n_maj_before,n_min_after,n_maj_after,ir_before,ir_after,cum_var
Obesity,obesity,1,1,11,QKNN + Tanpa Resampling,True,0.818181818181818,0.791666666666667,0.875,0.810606060606061,0.759835685651593,0.961111111111111,0.791666666666667,,,,,,,,,,,,
Obesity,obesity,1,1,11,QKNN + SMOTE,True,0.818181818181818,0.833333333333333,0.875,0.802272727272727,0.759835685651593,0.968055555555556,0.833333333333333,,,,,,,,,,,,
Obesity,obesity,1,1,11,QKNN + SMOTE-ENN,True,0.818181818181818,0.791666666666667,0.791666666666667,0.791666666666667,0.759835685651593,0.980902777777778,0.791666666666667,,,,,,,,,,,,
Obesity,obesity,1,1,11,QKNN + Borderline-SMOTE,True,1,1,1,1,1,1,1,,,,,,,,,,,,
Obesity,obesity,1,1,11,QKNN + SMOTE-Tomek,True,0.727272727272727,0.783333333333333,0.741666666666667,0.75,0.718608223926168,0.944097222222222,0.783333333333333,,,,,,,,,,,,
Obesity,obesity,1,1,11,QKNN + Quantum-SMOTE,True,0.909090909090909,0.75,0.666666666666667,0.7,0.001,0.973611111111111,0.75,,,,,,,,,,,,
Obesity,obesity,1,1,11,QKNN + Quantum-SMOTEV2,True,0.818181818181818,0.833333333333333,0.875,0.802272727272727,0.759835685651593,0.968055555555556,0.833333333333333,,,,,,,,,,,,
Obesity,obesity,1,1,11,QKNN + QS-ENN,True,0.636363636363636,0.533333333333333,0.45,0.466666666666667,0.000718608223926168,0.896180555555556,0.533333333333333,71,5,5,0,0,11,42,37,42,3.81818181818182,1.13513513513514,1
Obesity,obesity,1,1,11,ablasi: tanpa borderline,True,0.818181818181818,0.7,0.604166666666667,0.636507936507936,0.000945741609003176,0.949652777777778,0.7,,,,,,,,,,,,
Obesity,obesity,1,1,11,ablasi: P2 = tetangga,True,0.727272727272727,0.783333333333333,0.741666666666667,0.75,0.718608223926168,0.929513888888889,0.783333333333333,,,,,,,,,,,,
Obesity,obesity,1,1,11,ablasi: tanpa Q-ENN,True,0.727272727272727,0.583333333333333,0.583333333333333,0.518939393939394,0.000759835685651593,0.934722222222222,0.583333333333333,,,,,,,,,,,,
Obesity,obesity,1,1,11,KNN + SMOTE-ENN,True,0.818181818181818,0.791666666666667,0.791666666666667,0.791666666666667,0.759835685651593,0.975694444444444,0.791666666666667,,,,,,,,,,,,
Obesity,obesity,1,2,11,QKNN + Tanpa Resampling,True,0.727272727272727,0.666666666666667,0.583333333333333,0.62012987012987,0.000903602003609845,0.955902777777778,0.666666666666667,,,,,,,,,,,,
Obesity,obesity,1,2,11,QKNN + SMOTE,True,0.818181818181818,0.866666666666667,0.866666666666667,0.85,0.854574012792468,0.963194444444444,0.866666666666667,,,,,,,,,,,,
Obesity,obesity,1,2,11,QKNN + SMOTE-ENN,True,0.636363636363636,0.583333333333333,0.458333333333333,0.493939393939394,0.000759835685651593,0.768055555555556,0.583333333333333,,,,,,,,,,,,
Obesity,obesity,1,2,11,QKNN + Borderline-SMOTE,True,0.909090909090909,0.95,0.916666666666667,0.922222222222222,0.945741609003176,0.986111111111111,0.95,,,,,,,,,,,,
Obesity,obesity,1,2,11,QKNN + SMOTE-Tomek,True,0.727272727272727,0.783333333333333,0.825,0.741666666666667,0.718608223926168,0.938888888888889,0.783333333333333,,,,,,,,,,,,
Obesity,obesity,1,2,11,QKNN + Quantum-SMOTE,True,0.818181818181818,0.791666666666667,0.875,0.810606060606061,0.759835685651593,0.973263888888889,0.791666666666667,,,,,,,,,,,,
Obesity,obesity,1,2,11,QKNN + Quantum-SMOTEV2,True,0.818181818181818,0.75,0.5625,0.630952380952381,0.001,0.980902777777778,0.75,,,,,,,,,,,,
Obesity,obesity,1,2,11,QKNN + QS-ENN,True,0.818181818181818,0.791666666666667,0.875,0.810606060606061,0.759835685651593,0.973263888888889,0.791666666666667,71,7,5,0,2,11,42,37,42,3.81818181818182,1.13513513513514,1
Obesity,obesity,1,2,11,ablasi: tanpa borderline,True,0.818181818181818,0.791666666666667,0.875,0.810606060606061,0.759835685651593,0.973263888888889,0.791666666666667,,,,,,,,,,,,
Obesity,obesity,1,2,11,ablasi: P2 = tetangga,True,0.727272727272727,0.7,0.5625,0.603174603174603,0.000945741609003176,0.94375,0.7,,,,,,,,,,,,
Obesity,obesity,1,2,11,ablasi: tanpa Q-ENN,True,0.818181818181818,0.791666666666667,0.875,0.810606060606061,0.759835685651593,0.973263888888889,0.791666666666667,,,,,,,,,,,,
Obesity,obesity,1,2,11,KNN + SMOTE-ENN,True,0.727272727272727,0.666666666666667,0.5,0.560606060606061,0.000903602003609845,0.822569444444444,0.666666666666667,,,,,,,,,,,,
