dataset,key,rep,fold,seed,arm,multiclass,Acc,Recall_1,Prec_1,F1_1,Gmean,AUC,BalAcc,n_synth,n_removed,n_removed_maj_orig,n_removed_min_orig,n_removed_synth,n_min_before,n_maj_before,n_min_after,n_maj_after,ir_before,ir_after,cum_var
PIMA Indian Diabetes,pima,1,1,11,QKNN + Tanpa Resampling,False,0.792207792207792,0.666666666666667,0.72,0.692307692307692,0.757187779440036,0.78962962962963,0.763333333333333,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,1,11,QKNN + SMOTE,False,0.779220779220779,0.777777777777778,0.65625,0.711864406779661,0.778888096369862,0.779259259259259,0.778888888888889,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,1,11,QKNN + SMOTE-ENN,False,0.701298701298701,0.740740740740741,0.555555555555556,0.634920634920635,0.709720863229836,0.765555555555556,0.71037037037037,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,1,11,QKNN + Borderline-SMOTE,False,0.74025974025974,0.740740740740741,0.606060606060606,0.666666666666667,0.740370277731453,0.758518518518518,0.74037037037037,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,1,11,QKNN + SMOTE-Tomek,False,0.792207792207792,0.777777777777778,0.67741935483871,0.724137931034483,0.788810637746616,0.773703703703704,0.788888888888889,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,1,11,QKNN + Quantum-SMOTE,False,0.714285714285714,0.777777777777778,0.567567567567568,0.65625,0.727247474309048,0.754444444444444,0.728888888888889,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,1,11,QKNN + Quantum-SMOTEV2,False,0.727272727272727,0.814814814814815,0.578947368421053,0.676923076923077,0.74436152108641,0.79,0.747407407407407,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,1,11,QKNN + QS-ENN,False,0.766233766233766,0.777777777777778,0.636363636363636,0.7,0.768837506311386,0.781111111111111,0.768888888888889,209,138,124,0,14,241,450,436,326,1.86721991701245,0.747706422018349,0.828025900057449
PIMA Indian Diabetes,pima,1,1,11,ablasi: tanpa borderline,False,0.779220779220779,0.740740740740741,0.666666666666667,0.701754385964912,0.769800358919501,0.768518518518518,0.77037037037037,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,1,11,ablasi: P2 = tetangga,False,0.714285714285714,0.814814814814815,0.564102564102564,0.666666666666667,0.733333333333333,0.765185185185185,0.737407407407407,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,1,11,ablasi: tanpa Q-ENN,False,0.779220779220779,0.703703703703704,0.678571428571429,0.690909090909091,0.759629539339432,0.778888888888889,0.761851851851852,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,1,11,KNN + SMOTE-ENN,False,0.74025974025974,0.777777777777778,0.6,0.67741935483871,0.748331477354788,0.785925925925926,0.748888888888889,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,2,11,QKNN + Tanpa Resampling,False,0.623376623376623,0.296296296296296,0.444444444444444,0.355555555555556,0.486864495560148,0.628518518518519,0.548148148148148,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,2,11,QKNN + SMOTE,False,0.701298701298701,0.555555555555556,0.576923076923077,0.566037735849057,0.658280588604383,0.717407407407407,0.667777777777778,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,2,11,QKNN + SMOTE-ENN,False,0.688311688311688,0.62962962962963,0.548387096774194,0.586206896551724,0.673300329224139,0.724814814814815,0.674814814814815,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,2,11,QKNN + Borderline-SMOTE,False,0.623376623376623,0.481481481481481,0.464285714285714,0.472727272727273,0.580548910116139,0.648888888888889,0.590740740740741,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,2,11,QKNN + SMOTE-Tomek,False,0.701298701298701,0.555555555555556,0.576923076923077,0.566037735849057,0.658280588604383,0.725925925925926,0.667777777777778,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,2,11,QKNN + Quantum-SMOTE,False,0.701298701298701,0.666666666666667,0.5625,0.610169491525424,0.692820323027551,0.680740740740741,0.693333333333333,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,2,11,QKNN + Quantum-SMOTEV2,False,0.688311688311688,0.666666666666667,0.545454545454545,0.6,0.683130051063973,0.656296296296296,0.683333333333333,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,2,11,QKNN + QS-ENN,False,0.662337662337662,0.666666666666667,0.514285714285714,0.580645161290323,0.66332495807108,0.705555555555555,0.663333333333333,209,122,111,0,11,241,450,439,339,1.86721991701245,0.772209567198178,0.856030147889354
PIMA Indian Diabetes,pima,1,2,11,ablasi: tanpa borderline,False,0.636363636363636,0.62962962962963,0.485714285714286,0.548387096774194,0.634793638092698,0.697777777777778,0.634814814814815,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,2,11,ablasi: P2 = tetangga,False,0.688311688311688,0.814814814814815,0.536585365853659,0.647058823529412,0.710763804076421,0.712222222222222,0.717407407407407,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,2,11,ablasi: tanpa Q-ENN,False,0.675324675324675,0.518518518518518,0.538461538461538,0.528301886792453,0.627753195192246,0.662222222222222,0.639259259259259,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,2,11,KNN + SMOTE-ENN,False,0.675324675324675,0.592592592592593,0.533333333333333,0.56140350877193,0.653197264742181,0.682592592592593,0.656296296296296,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,3,11,QKNN + Tanpa Resampling,False,0.701298701298701,0.592592592592593,0.571428571428571,0.581818181818182,0.671096394246289,0.736666666666667,0.676296296296296,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,3,11,QKNN + SMOTE,False,0.688311688311688,0.666666666666667,0.545454545454545,0.6,0.683130051063973,0.735555555555556,0.683333333333333,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,3,11,QKNN + SMOTE-ENN,False,0.675324675324675,0.814814814814815,0.523809523809524,0.63768115942029,0.699205898780101,0.768888888888889,0.707407407407407,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,3,11,QKNN + Borderline-SMOTE,False,0.636363636363636,0.62962962962963,0.485714285714286,0.548387096774194,0.634793638092698,0.715185185185185,0.634814814814815,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,3,11,QKNN + SMOTE-Tomek,False,0.701298701298701,0.666666666666667,0.5625,0.610169491525424,0.692820323027551,0.708888888888889,0.693333333333333,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,3,11,QKNN + Quantum-SMOTE,False,0.662337662337662,0.666666666666667,0.514285714285714,0.580645161290323,0.66332495807108,0.71,0.663333333333333,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,3,11,QKNN + Quantum-SMOTEV2,False,0.636363636363636,0.703703703703704,0.487179487179487,0.575757575757576,0.649786289653931,0.708888888888889,0.651851851851852,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,3,11,QKNN + QS-ENN,False,0.662337662337662,0.703703703703704,0.513513513513513,0.59375,0.671096394246289,0.728518518518519,0.671851851851852,209,123,115,0,8,241,450,442,335,1.86721991701245,0.757918552036199,0.828842496385614
PIMA Indian Diabetes,pima,1,3,11,ablasi: tanpa borderline,False,0.688311688311688,0.703703703703704,0.542857142857143,0.612903225806452,0.69175032961215,0.749259259259259,0.691851851851852,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,3,11,ablasi: P2 = tetangga,False,0.675324675324675,0.851851851851852,0.522727272727273,0.647887323943662,0.702904029063765,0.729259259259259,0.715925925925926,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,3,11,ablasi: tanpa Q-ENN,False,0.688311688311688,0.592592592592593,0.551724137931034,0.571428571428571,0.662207307811171,0.728888888888889,0.666296296296296,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,3,11,KNN + SMOTE-ENN,False,0.701298701298701,0.777777777777778,0.552631578947368,0.646153846153846,0.716472842006823,0.761851851851852,0.718888888888889,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,4,11,QKNN + Tanpa Resampling,False,0.753246753246753,0.666666666666667,0.642857142857143,0.654545454545455,0.730296743340221,0.801481481481481,0.733333333333333,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,4,11,QKNN + SMOTE,False,0.649350649350649,0.703703703703704,0.5,0.584615384615385,0.660527286564527,0.768148148148148,0.661851851851852,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,4,11,QKNN + SMOTE-ENN,False,0.688311688311688,0.814814814814815,0.536585365853659,0.647058823529412,0.710763804076421,0.775185185185185,0.717407407407407,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,4,11,QKNN + Borderline-SMOTE,False,0.714285714285714,0.703703703703704,0.575757575757576,0.633333333333333,0.711805216802087,0.771851851851852,0.711851851851852,,,,,,,,,,,,
PIMA Indian Diabetes,pima,1,4,11,QKNN + SMOTE-Tomek,False,0.662337662337662,0.703703703703704,0.513513513513513,0.59375,0.671096394246289,0.787777777777778,0.671851851851852,,,,,,,,,,,,
