dataset,key,rep,fold,seed,arm,multiclass,Acc,Recall_1,Prec_1,F1_1,Gmean,AUC,BalAcc,n_synth,n_removed,n_removed_maj_orig,n_removed_min_orig,n_removed_synth,n_min_before,n_maj_before,n_min_after,n_maj_after,ir_before,ir_after,cum_var
Typhoid,typhoid,1,1,11,QKNN + Tanpa Resampling,False,0.514018691588785,0.404255319148936,0.441860465116279,0.422222222222222,0.492496894903269,0.465070921985816,0.502127659574468,,,,,,,,,,,,
Typhoid,typhoid,1,1,11,QKNN + SMOTE,False,0.523364485981308,0.468085106382979,0.458333333333333,0.463157894736842,0.515022549943548,0.482978723404255,0.517375886524823,,,,,,,,,,,,
Typhoid,typhoid,1,1,11,QKNN + SMOTE-ENN,False,0.579439252336449,0.680851063829787,0.516129032258065,0.587155963302752,0.583459965991578,0.582624113475177,0.590425531914894,,,,,,,,,,,,
Typhoid,typhoid,1,1,11,QKNN + Borderline-SMOTE,False,0.514018691588785,0.468085106382979,0.448979591836735,0.458333333333333,0.507392164415887,0.481028368794326,0.509042553191489,,,,,,,,,,,,
Typhoid,typhoid,1,1,11,QKNN + SMOTE-Tomek,False,0.523364485981308,0.446808510638298,0.456521739130435,0.451612903225806,0.510527470242631,0.483156028368794,0.515070921985816,,,,,,,,,,,,
Typhoid,typhoid,1,1,11,QKNN + Quantum-SMOTE,False,0.504672897196262,0.382978723404255,0.428571428571429,0.404494382022472,0.479361277162177,0.440957446808511,0.491489361702128,,,,,,,,,,,,
Typhoid,typhoid,1,1,11,QKNN + Quantum-SMOTEV2,False,0.504672897196262,0.404255319148936,0.431818181818182,0.417582417582418,0.485608487196094,0.458687943262411,0.493794326241135,,,,,,,,,,,,
Typhoid,typhoid,1,1,11,QKNN + QS-ENN,False,0.467289719626168,0.595744680851064,0.424242424242424,0.495575221238938,0.467375348421434,0.502659574468085,0.481205673758865,121,242,235,0,7,418,539,532,304,1.28947368421053,0.571428571428571,0.780598760683217
Typhoid,typhoid,1,1,11,ablasi: tanpa borderline,False,0.476635514018692,0.617021276595745,0.432835820895522,0.508771929824561,0.475648120727679,0.509219858156028,0.491843971631206,,,,,,,,,,,,
Typhoid,typhoid,1,1,11,ablasi: P2 = tetangga,False,0.467289719626168,0.659574468085106,0.430555555555556,0.521008403361345,0.457017776707811,0.50886524822695,0.488120567375886,,,,,,,,,,,,
Typhoid,typhoid,1,1,11,ablasi: tanpa Q-ENN,False,0.523364485981308,0.425531914893617,0.454545454545455,0.43956043956044,0.505291152639911,0.467730496453901,0.512765957446809,,,,,,,,,,,,
Typhoid,typhoid,1,1,11,KNN + SMOTE-ENN,False,0.570093457943925,0.659574468085106,0.508196721311475,0.574074074074074,0.574271045798544,0.568439716312057,0.579787234042553,,,,,,,,,,,,
Typhoid,typhoid,1,2,11,QKNN + Tanpa Resampling,False,0.570093457943925,0.51063829787234,0.51063829787234,0.51063829787234,0.561153826522885,0.618085106382979,0.563652482269503,,,,,,,,,,,,
Typhoid,typhoid,1,2,11,QKNN + SMOTE,False,0.579439252336449,0.531914893617021,0.520833333333333,0.526315789473684,0.572725225913058,0.618439716312057,0.574290780141844,,,,,,,,,,,,
Typhoid,typhoid,1,2,11,QKNN + SMOTE-ENN,False,0.579439252336449,0.659574468085106,0.516666666666667,0.579439252336449,0.5837637722949,0.556205673758865,0.588120567375886,,,,,,,,,,,,
Typhoid,typhoid,1,2,11,QKNN + Borderline-SMOTE,False,0.579439252336449,0.617021276595745,0.517857142857143,0.563106796116505,0.582547596448273,0.632624113475177,0.583510638297872,,,,,,,,,,,,
Typhoid,typhoid,1,2,11,QKNN + SMOTE-Tomek,False,0.523364485981308,0.48936170212766,0.46,0.474226804123711,0.518795659359456,0.544326241134752,0.51968085106383,,,,,,,,,,,,
Typhoid,typhoid,1,2,11,QKNN + Quantum-SMOTE,False,0.551401869158878,0.531914893617021,0.490196078431373,0.510204081632653,0.549015882936288,0.617198581560284,0.549290780141844,,,,,,,,,,,,
Typhoid,typhoid,1,2,11,QKNN + Quantum-SMOTEV2,False,0.570093457943925,0.51063829787234,0.51063829787234,0.51063829787234,0.561153826522885,0.616489361702128,0.563652482269503,,,,,,,,,,,,
Typhoid,typhoid,1,2,11,QKNN + QS-ENN,False,0.514018691588785,0.638297872340426,0.461538461538462,0.535714285714286,0.515710623129397,0.562234042553192,0.527482269503546,121,228,222,0,6,418,539,533,317,1.28947368421053,0.594746716697936,0.777303336081756
Typhoid,typhoid,1,2,11,ablasi: tanpa borderline,False,0.504672897196262,0.638297872340426,0.454545454545455,0.530973451327434,0.505291152639911,0.567021276595745,0.519148936170213,,,,,,,,,,,,
Typhoid,typhoid,1,2,11,ablasi: P2 = tetangga,False,0.523364485981308,0.702127659574468,0.471428571428571,0.564102564102564,0.518795659359456,0.580673758865248,0.542730496453901,,,,,,,,,,,,
Typhoid,typhoid,1,2,11,ablasi: tanpa Q-ENN,False,0.560747663551402,0.51063829787234,0.5,0.505263157894737,0.553518724817331,0.608333333333333,0.55531914893617,,,,,,,,,,,,
Typhoid,typhoid,1,2,11,KNN + SMOTE-ENN,False,0.579439252336449,0.659574468085106,0.516666666666667,0.579439252336449,0.5837637722949,0.561702127659574,0.588120567375886,,,,,,,,,,,,
Typhoid,typhoid,1,3,11,QKNN + Tanpa Resampling,False,0.485981308411215,0.319148936170213,0.394736842105263,0.352941176470588,0.443631052382831,0.475354609929078,0.46790780141844,,,,,,,,,,,,
Typhoid,typhoid,1,3,11,QKNN + SMOTE,False,0.485981308411215,0.361702127659574,0.404761904761905,0.382022471910112,0.459339643185104,0.45354609929078,0.472517730496454,,,,,,,,,,,,
Typhoid,typhoid,1,3,11,QKNN + SMOTE-ENN,False,0.429906542056075,0.446808510638298,0.375,0.407766990291262,0.431474463631346,0.430673758865248,0.431737588652482,,,,,,,,,,,,
Typhoid,typhoid,1,3,11,QKNN + Borderline-SMOTE,False,0.514018691588785,0.382978723404255,0.439024390243902,0.409090909090909,0.485973469199665,0.469148936170213,0.499822695035461,,,,,,,,,,,,
